FID,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Shape_Area,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM
0,0360013,SF,KY Division of Mine Permits,KGS Project,KY0360013,INACT,53591.07881,5145406.112,118.1222707,DAVID,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      03/27/1979,Released,1979-03-27,INTERIM,0360013
1,0360017,SF,KY Division of Mine Permits,KGS Project,KY0360017,INACT,20218.4675,1425734.314,32.73035616,MARTIN,XX,SUPERIOR ELKHORN MINING,PRESTONSBURG,  RV      01/17/1980,Released,1980-01-17,INTERIM,0360017
2,0360020,SF,KY Division of Mine Permits,KGS Project,KY0360020,INACT,17940.42071,3931216.773,90.24831894,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  RV      03/13/1991  AM      12/13/1979,Released,1979-12-13,INTERIM,0360020
3,0360021,SF,KY Division of Mine Permits,KGS Project,KY0360021,INACT,1610.462932,122868.2401,2.820666668,MARTIN,FF,SUPERIOR ELKHORN MINING,PRESTONSBURG,  NW      02/18/1980,Released,1980-02-18,INTERIM,0360021
4,0360023,SF,KY Division of Mine Permits,KGS Project,KY0360023,INACT,29449.44299,7141363.987,163.9431586,PRESTONSBURG,RC,BIZWIL INC,PRESTONSBURG,  RV      09/29/1983  RV      10/21/1980  RV      12/03/1979,Released,1979-12-03,INTERIM,0360023
5,0360035,SF,KY Division of Mine Permits,KGS Project,KY0360035,INACT,2155.069388,83001.24274,1.905446344,MARTIN,RC,CONAL COAL CO INC,PRESTONSBURG,  NW      03/16/1981,Released,1981-03-16,INTERIM,0360035
6,0360042,SF,KY Division of Mine Permits,KGS Project,KY0360042,INACT,64126.9683,6335118.147,145.4343009,MCDOWELL,RC,COAL-MAC INC,PRESTONSBURG,  MI      01/19/1990  RV      08/05/1986  AM      12/09/1983,Released,1981-08-26,INTERIM,0360042
7,0360048,SF,KY Division of Mine Permits,KGS Project,KY0360048,INACT,159550.829,16424981.25,377.0656852,MARTIN,RC,BRASHAE COAL COMPANY INC,PRESTONSBURG,  RV      09/23/1983  SU      09/06/1983  AM      07/13/1982,Released,1981-02-25,INTERIM,0360048
8,0360049,SF,KY Division of Mine Permits,KGS Project,KY0360049,INACT,1086.540965,59332.56125,1.362088183,MARTIN,RC,J & M FUELS,PRESTONSBURG,  NW      03/16/1981,Released,1981-03-16,INTERIM,0360049
9,0360051,SF,KY Division of Mine Permits,KGS Project,KY0360051,INACT,13729.26437,1148792.121,26.37263822,HAROLD,RC,HAYES INC,PRESTONSBURG,  NW      02/10/1982,Released,1982-02-10,INTERIM,0360051
